Parent	Gropoff	WATOff	Names	Truck	Plant	Stud0	Stud1	Stud2	Stud3	Stud4	Stud5	Stud6	Stud7	Stud8	Stud9	Stud10	Stud11	Stud12	Stud13	Stud14	Stud15	Stud16	Stud17	Stud18	Stud19	Mach0	Mach1	Mach2	Mach3	Mach4	Mach5	Mach6	Mach7	Mach8	Mach9	Cour0
*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******
S	S	S	S																							S5										S
D19,3			R0																								S5									
			R1																									S5								
D8,1			R2																										S5							
D9,1			R3																											S5						
			R4																												S5					
D1,1			R5																													S5				
D18,3			R6																														S5			
			R7																															S5		
D4,3			R8																																S5	
D18,3		C0,5	R9	S	S	S2,8	S0,16	S2,35	S2,21	S0,6	S0,9	S2,48	S3,18	S1,15	S2,10	S3,29	S2,45	S3,44	S2,22	S0,5	S3,2	S2,33	S1,7	S0,31	S2,27											
D14,2		W																																		t0,5
		C1,5	N0,0			V0																														
D6,2		C2,5																																		
D19,2		C3,5	N1,1		G4		V1																													
		C4,5		P4	P																															
D11,2		C5,5		d0,4																						r										
				U0,8																						R										
D8,2		C6,5	N2,2	D0,0				V2																												
		C7,5	N3,3						V3																											
D19,2		C8,5																																		
D0,1		C9,5	N4,4		G4					V4																										
		C10,5		P4	P																															
D14,2		C11,5		d1,4																							r									
				U1,8																							R									
D10,2		C12,5	N5,5	D1,0							V5																									
		C13,5	N6,6									V6																								
D12,2		C14,5																																		
D11,3		C15,5	N7,7		G5								V7																							
		C16,5		P5	P																															
D2,1		C17,5		d2,5																								r								
				U2,7																								R								
D9,3		C18,5	N8,8	D2,0										V8																						
D18,2	D9,5	C19,5	N9,9												V9																					
D12,2	D17,5		N10,0		G3											V0																				
				P3	P																															
D13,2	D2,5			d3,3				G2,0																				B2,1	r							
				U3,9																									R							
	D8,5		N11,1	D3,0													V1																			
D1,2	D14,5																																			
D1,2	D10,5		N12,2															V2																		
	D13,5																																			
D19,2	D5,5		N13,3		G2														V3																	
				P2	P																															
D11,3	D7,5			d4,2															G2,0										B2,0	r						
				U4,10																										R						
D2,2	D1,5		N14,4	D4,0			G0,0													V4							B0,0									
